created_at,text_raw,source,name
2024-12-28 00:42:00,人文学科不太可能消亡 因为它有其特有的价值 也许需要的是变革,来自北京,夏戴草帽_冬穿棉袄
2024-12-28 00:40:42,“无一例外，这些大多是”[黑线],来自比利时,不管他们承诺什么大喊什么
2024-12-28 11:20:56,文科和理科，不是对立的哦。,来自河北,呆萌Demon
2024-12-28 11:51:37,科学研究很重要，但文科消失只能说明人类社会的发展在走下坡路，因为没有精力支撑精神发展，就像以前的人吃不起饭也顾不上其他烦恼,来自上海,AA快乐批发
2024-12-28 11:06:50,不能说文科消亡，文科在演变，变得更适合现在的社会,来自广东,乱梦响马
2024-12-28 11:53:50,文化力量的缺失，将会走向另一种野蛮,来自山西,你的羽翼很温暖
2024-12-28 11:19:45,应该是人文社科需要革新，一些人文社科的课程理论太陈旧、腐朽,来自河南,失落星空v
2024-12-28 11:37:39,都学理科，都是工具人，成为不了有思想的人[汗],来自广西,不写书的笑笑生
2024-12-28 11:39:37,“无一例外，大多是文科专业”，就冲小编这个文字水平，文科就很有存在必要,来自内蒙古,伊壁鸠鲁氏
2024-12-28 11:36:33,为什么要人为区分文理呢？人不应该全面发展吗,来自广东,康帅大大
2024-12-28 11:25:16,终有一天大家都会变成三体人,来自上海,windyier
2024-12-28 11:51:42,文科永远不会消亡，只会改革：理科领域要写论文，没有文科成吗？一个人只精通数理化，不精读莎士比亚，不读罗马史诗，不融通诗经、论话……不是一个完整的人。,来自河南,笔耕太行
2024-12-28 11:59:52,这个世界太急功近利啦！[嘻嘻][嘻嘻],来自陕西,张闳祎
2024-12-28 12:00:19,可以说“文科衰败”，但不能直接说“文科消亡”吧[淡淡的][淡淡的][淡淡的][跪了][跪了][跪了][跪了],来自四川,默默大黄猫
2024-12-28 11:49:50,这话题也是文科人自己搞的吧,来自北京,大脑超频计划Official
2024-12-28 13:57:12,人们只管填饱肚子，不注重精神，所以文科消失了。,来自重庆,微微说不
2024-12-28 12:01:27,思想和信仰永不过时,来自江苏,历史小马
2024-12-28 11:50:32,一段话想半天，一个chat GTP几秒钟生成,来自广东,Sammy赵阿楠
2024-12-28 11:42:03,意思是不建议文理分科，人要全面发展,来自北京,深舣蒹葭
2024-12-28 11:51:28,人不能没有精神食粮[淡淡的],来自北京,努力往上蹦的兔子
2024-12-28 13:55:19,那我反而觉得理科在消亡，就目前来看，宇宙的尽头就是考公,来自安徽,巴伐利亚慕尼黑俱乐部中单选手
2024-12-28 11:50:43,“文科”也许有独特的价值，但“文科生”多半没有,来自上海,倏而今夏___
2024-12-28 11:48:38,人工智能的发展导致文科衰退是必然。但这篇报道中竟然没有提到“人工智能”，这让我感到震惊！,来自内蒙古,洛南洛北
2024-12-28 14:02:40,大学的学科、选择专业已经变成就业趋导和功利主义至上了….挺悲哀的其实。,来自天津,啊吧哩恰恰
2024-12-28 11:30:37,假如文科没有了，那么理科也将不复存在了～,来自福建,Leo大魔王的事
2024-12-28 13:54:26,因为会说话的人太多了[汗] 不需要这么多，只会说不会做的人 [苦涩]我也是文科生,来自山东,江山佐酒
2024-12-28 11:46:30,文科集中了人类思想，艺术，文学之美，一直不懂学理科有什么用！,来自上海,地球是我们大家共同的家
2024-12-28 12:02:02,过度失衡，人类文明倒退的前奏。,来自安徽,来自火星的猫猫猫
2024-12-28 11:54:53,核心还是就业问题就不了合适的读了还是没用,来自广东,hokudaisei
2024-12-28 14:07:02,文科的学术研究，确实有作茧自缚、自绝于现实生活的自毁倾向。文学历史哲学不会亡，要亡的是这些学科，是它们的研究范式和出产。,来自河北,闲人看云
2024-12-28 02:11:50,文科消灭，意味传承消失[衰][蜘蛛侠],来自广东,一只飞飞的鹰
2024-12-28 12:02:09,哎[淡淡的],来自湖北,小瓜背西瓜
2024-12-28 13:58:51,不破不立，消亡伴随着新生，万事万物皆如此，岂止一个文科而已,来自广东,自种天然
2024-12-28 13:56:32,我就直接说吧，大多数工作只需要你是个可以随时被替代的螺丝钉,来自北京,djfksfks
